program,section,source,level,name,parent_name,full_path,pic,usage,occurs,occurs_depends_on,redefines,value,line_etude
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-INFO,SMAD-GRP,SMAD/SMAD-GRP/SMAD-INFO,X(060).,,,,,,000096
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-DCOD,SMAD-GRP,SMAD/SMAD-GRP/SMAD-DCOD,X(004).,,,,,,000097
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-FGRP,SMAD-GRP,SMAD/SMAD-GRP/SMAD-FGRP,,,,,,,000098
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,15,SMAD-FILE,SMAD-FGRP,SMAD/SMAD-GRP/SMAD-FGRP/SMAD-FILE,X(008).,,,,,,000099
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,15,SMAD-FKEY,SMAD-FGRP,SMAD/SMAD-GRP/SMAD-FGRP/SMAD-FKEY,X(030).,,,,,,000100
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-STOR,SMAD-GRP,SMAD/SMAD-GRP/SMAD-STOR,X(020).,,,,,,000101
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-TTRA,SMAD-GRP,SMAD/SMAD-GRP/SMAD-TTRA,X(008).,,,,,,000102
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-RCOD,SMAD-GRP,SMAD/SMAD-GRP/SMAD-RCOD,X(008).,,,,,,000103
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-RTYP,SMAD-GRP,SMAD/SMAD-GRP/SMAD-RTYP,X(008).,,,,,,000104
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-INQT,SMAD-GRP,SMAD/SMAD-GRP/SMAD-INQT,X(015).,,,,,,000105
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-INQX,SMAD-GRP,SMAD/SMAD-GRP/SMAD-INQX,X(030).,,,,,,000106
SRSRADIS,WORKING-STORAGE SECTION,SMASHDIW,10,SMAD-TYPA,SMAD-GRP,SMAD/SMAD-GRP/SMAD-TYPA,X(010).,,,,,,000107
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,01,SRSWFANO,,SRSWFANO,,,,,,,000110
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,05,SRSWFANO-MESS1,SRSWFANO,SRSWFANO/SRSWFANO-MESS1,,,,,,,000111
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,SRSWFANO-PGM,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-PGM,X(08).,,,,,,000112
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,FILLER,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1/FILLER,X(03),,,,,' : ',000113
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,FILLER,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1/FILLER,X(10),,,,,'ERREUR EN ',000114
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,SRSWFANO-ORDRE,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-ORDRE,X(10).,,,,,,000115
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,FILLER,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1/FILLER,X(05),,,,,' SUR ',000116
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,SRSWFANO-FICHIER,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-FICHIER,X(08).,,,,,,000117
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,FILLER,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1/FILLER,X(16),,,,,,000118
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,SRSWFANO-CODE,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-CODE,9(04).,,,,,,000120
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,FILLER,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1/FILLER,X(12),,,,,SPACES,000121
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,SRSWFANO-APPL,SRSWFANO-MESS1,SRSWFANO/SRSWFANO-MESS1/SRSWFANO-APPL,X(03),,,,,SPACES,000122
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,05,SRSWFANO-MESS2,SRSWFANO,SRSWFANO/SRSWFANO-MESS2,,,,,,,000123
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,FILLER,SRSWFANO-MESS2,SRSWFANO/SRSWFANO-MESS2/FILLER,X(12),,,,,'-REPERE PGM ',000124
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,SRSWFANO-REPERE,SRSWFANO-MESS2,SRSWFANO/SRSWFANO-MESS2/SRSWFANO-REPERE,X(10).,,,,,,000125
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,FILLER,SRSWFANO-MESS2,SRSWFANO/SRSWFANO-MESS2/FILLER,X(08),,,,,' - CLE: ',000126
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,SRSWFANO-CLE,SRSWFANO-MESS2,SRSWFANO/SRSWFANO-MESS2/SRSWFANO-CLE,X(40).,,,,,,000127
SRSRADIS,WORKING-STORAGE SECTION,SRSWFANO,10,FILLER,SRSWFANO-MESS2,SRSWFANO/SRSWFANO-MESS2/FILLER,X(09),,,,,SPACES,000128
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,01,W-SRCZ-MS,,W-SRCZ-MS,,,,,,,000131
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,05,W-SRCZ-ID,W-SRCZ-MS,W-SRCZ-MS/W-SRCZ-ID,,,,,,,000132
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,10,W-SRCZ-IDMS,W-SRCZ-ID,W-SRCZ-MS/W-SRCZ-ID/W-SRCZ-IDMS,X(4).,,,,,,000133
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,10,W-SRCZ-TERM,W-SRCZ-ID,W-SRCZ-MS/W-SRCZ-ID/W-SRCZ-TERM,X(4).,,,,,,000134
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,05,W-SRCZ-DONNEES,W-SRCZ-MS,W-SRCZ-MS/W-SRCZ-DONNEES,,,,,,,000135
SRSRADIS,WORKING-STORAGE SECTION,SRSWSRCZ,10,W-SRCZ-MESS1,W-SRCZ-DONNEES,W-SRCZ-MS/W-SRCZ-DONNEES/W-SRCZ-MESS1,,,,,,,000136
